"name","address","city","state","zip"
"ALHAMBRA","1210 N. ATLANTIC BLVD.","ALHAMBRA","CA",91801
"BALDWIN PARK","13850 FRANCISQUITO AVE.","BALDWIN PARK","CA",91706
"ROSEMEAD","4242 N. ROSEMEAD BL.","ROSEMEAD","CA",91770
"RENO","8215 S. VIRGINIA ST.","RENO","NV",89511
"ORANGE (CHAPMAN & PROSPECT)","3501 E CHAPMAN","ORANGE","CA",92869
"TORRANCE (CRENSHAW & LOMITA)","24445 CRENSHAW BLVD","TORRANCE","CA",90505
"LANCASTER","740 N. I-35 E.","LANCASTER","TX",75146
"CASA GRANDE","873 N. PROMENADE PKWY.","CASA GRANDE","AZ",85194
"ALLEN","190 E. STACY RD.","ALLEN","TX",75002
"IRVING","6501 N. MACARTHUR BLVD.","IRVING","TX",75039
"DALLAS (ADDISON)","15260 DALLAS PKWY.","DALLAS","TX",75248
"ARLINGTON","1075 W. I-20","ARLINGTON","TX",76017
"GARLAND","150 TOWN CENTER BLVD.","GARLAND","TX",75040
"DALLAS","7909 LYNDON B JOHNSON FWY.","DALLAS","TX",75251
"FORT WORTH (LAKE WORTH)","5916 QUEBEC ST.","FORT WORTH","TX",76135
"DALLAS (MIDWAY)","12909 MIDWAY RD.","DALLAS","TX",75244
"FRISCO","2800 PRESTON RD.","FRISCO","TX",75034
"PLANO","2740 N. CENTRAL EXWY.","PLANO","TX",75074
"CITY OF INDUSTRY (GRAND & VALLEY)","21620 E. VALLEY BLVD","CITY OF INDUSTRY","CA",91789
"DIAMOND BAR","21133 GOLDEN SPRINGS","DIAMOND BAR","CA",91765
"FORT WORTH","2900 W. 7TH ST.","FORT WORTH","TX",76107
"COSTA MESA","594 W. 19TH STREET","COSTA MESA","CA",92627
"RIVERTON","12569 S CROSSING DRIVE","RIVERTON","UT",84096
"ATASCADERO","6000 SAN ANSELMO RD","ATASCADERO","CA",93422
"MILL VALLEY","798 REDWOOD HWY","MILL VALLEY","CA",94941
